"# of Uses","Antal användningar"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"Action","Åtgärd"
"Actions","Åtgärder"
"Add New Tag","Lägg till ny etikett"
"Add Tags","Lägg till etiketter"
"Add Your Tags:","Lägg till dina etiketter:"
"All Tags","Alla etiketter"
"Approved","Godkänd"
"Are you sure that you want to delete this tag?","Är du säker på att du vill ta bort denna etikett?"
"Are you sure you want to delete this tag?","Är du säker på att du vill ta bort denna etikett?"
"Are you sure you want to do this?","Är du säker på att du vill göra detta?"
"Are you sure?","Är du säker?"
"Back to Tags List","Tillbaka till etikettlistan"
"Back to view Tag","Etiketten tillbaka till vy"
"Back","Tillbaka"
"Block Information","Blockinformation"
"CSV","CSV"
"Change status","Ändra status"
"Click on a tag to view your corresponding products.","Välj en etikett för att se dina motsvarande produkter"
"Country","Land"
"Customer Since","Kund sedan"
"Customers Tagged '%s'","Kunder som har satt etiketten '%s'"
"Customers","Kunder"
"Delete Tag","Ta bort etiketten"
"Delete","Ta bort"
"Disabled","Inaktiverad"
"Edit Tag '%s'","Ändra etiketten '%s'"
"Edit Tag","Ändra etiketten"
"Email","E-post"
"First Name","Förnamn"
"General Information","Allmän information"
"Grid","Rutnät"
"ID","ID"
"Last Name","Efternamn"
"List","Lista"
"My Recent Tags","Mina senaste etiketter"
"My Tags","Mina etiketter"
"Name","Namn"
"New Tag","Ny etikett"
"No matches found.","Inga träffar."
"Other people marked this product with these tags:","Andra har satt följande etiketter på denna produkt:"
"Pending Tags","Etiketter att granska"
"Pending","Väntar på granskning"
"Popular Tags","Populära etiketter"
"Popular","Populära"
"Popularity","Popularitet"
"Price","Pris"
"Product Name","Produktnamn"
"Product SKU","Artikelnummer för produkt"
"Product Tags","Produktetiketter"
"Products Tagged with '%s'","Produkter med etiketten '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Produkter med etiketten '%s' (<a href='%s'>RSS</a>)"
"Products tagged with '%s'","Produkter med etiketten '%s'"
"Products","Produkter"
"SKU","Artikelnummer"
"Save Tag","Spara etiketten"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Sökresultat för '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Search Terms"
"Status","Status"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tag Information","Etikettinformation"
"Tag Name","Etikettnamn"
"Tag Name: %s","Etikettens namn: %s"
"Tag can't be empty.","Etiketten kan inte vara tom."
"Tag","Etikett"
"Tagged in","Har fått etiketterna"
"Tags Aren't Available","Etiketterna är inte tillgängliga"
"Tags","Etiketter"
"Tags:","Etiketter:"
"Telephone","Telefonnummer"
"Thank you. Your tag has been accepted for moderation.","Din etikett kommer att granskas innan den kan läggas till. Tack!"
"Unable to find any products tagged with '%s' in the current store","Det gick inte att hitta några produkter i butiken som har etiketten '%s'"
"Unable to remove tag. Please, try again later.","Det gick inte att ta bort etiketten. Vänligen försök igen senare."
"Unable to save tag(s)","Det gick inte att spara etiketterna"
"Unable to save your tag. Please, try again later.","Det gick inte att spara din etikett. Vänligen försök igen senare."
"Use spaces to separate tags. Use single quotes (') for phrases.","Använd mellanslag för att åtskilja etiketter. Använd apostrof (') för fraser."
"Uses","Användningar"
"View All Tags","Visa alla etiketter"
"View All","Visa alla"
"View Customers","Visa kunder"
"View Products","Visa produkter"
"Visible In","Synlig i"
"Wishlist","Önskelista"
"XML","XML"
"You have not tagged any products yet.","Du har ännu inte satt etiketter på några produkter."
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
"ZIP/Post Code","Postnummer"
