"# of Use","Använt antal"
"Filter must be as object. Set correct filter please","Filer måste vara som ett objekt. Vänligen välj korrekt filter"
"Filterable (no results)","Filtrerbar (inga resultat)"
"Filterable (with results)","Filtrerbar (med resultat)"
"Filters must be as array","Filter måste vara som vektor"
"First Name","Förnamn"
"Fixed","Fixerad"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","För internt bruk. Måste vara unikt och utan mellanslag"
"For reindex enabled product(s) you need specify store or product","For reindex enabled product(s) you need specify store or product"
"Frontend Model","Modell för kunddelen"
"Frontend Properties","Egenskaper för kunddelen"
"Frontend","Kunddelen"
"Gallery","Galleri"
"General Information","Allmän information"
"Get special price","Get special price"
"Global","Global"
"Globally Editable","Globalt ändringsbar"
"Go to Home Page","Gå till hemsidan"
"Grid","Rutnät"
"Grouped Product","Grupperad produkt"
"Groups","Grupper"
"Home","Hem"
"ID","ID"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image file not found","Bildfilen kunde inte hittas"
"Image not exists","Bilden existerar inte"
"Image not specified.","Image not specified."
"Image type and information need to be specified for each store view.","Typ och information för bild måste anges för varje butiksvy."
"Image","Bild"
"In Stock","I lager"
"In stock","I lager"
"In stock.","In stock."
"Incl. Tax","Incl. Tax"
"Input Type","Input Type"
"Input Validation for Store Owner","Indatavalidering för butiksägare"
"Integer Number","Heltalsnummer"
"Integer","Heltal"
"Invalid Tier Prices","Invalid Tier Prices"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Ogiltigt attributsalternativ ha angets för attributet %s (%s). Hoppar över posten"
"Invalid attribute set specified, skipping the record","Ogiltig attributsmängd har angivits. Hoppar över posten"
"Invalid block: %s","Ogiltigt block: %s"
"Invalid category IDs","Ogiltigt kategori-ID:n"
"Invalid category","Invalid category"
"Invalid image file type","Ogiltig filtyp för bild"
"Invalid image type.","Invalid image type."
"Invalid option id specified for %s (%s), skipping the record","Ogiltigt alternativ-ID har angivits för %s (%s). Hoppar över posten"
"Invalid product type specified, skipping the record","Ogiltig produkttyp har angetts. Hoppar över posten"
"Invalid store specified","Ogiltig butik har angetts"
"Invalid store specified, skipping the record","Ogiltig butik har angivits. Hoppar över posten"
"Inventory","Inventering"
"Is Default","Är förvalt"
"Is Required","Is Required"
"Items %s to %s of %s total","Artiklar %s till %s av totalt %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Artiklar som du inte vill ska visas i katalogen eller i sökresultat bör ha status satt till 'Inaktiverad"" i önskad butik."
"Label","Etikett"
"Last Name","Efternamn"
"Last Notification","Senaste meddelande"
"Learn More","Läs mer"
"Length of text is too long","Length of text is too long"
"Letters","Bokstäver"
"Letters(a-zA-Z) or Numbers(0-9)","Bokstäver (a-ö, A-Ö) eller siffror (0-9)"
"Line %d, Email: %s","Rad %d, E-post: %s"
"Line %d, SKU: %s","Rad %d, artikelnummer: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product not exists.","Link product not exists."
"List Mode","Listläge"
"List","Lista"
"Manage Attribute Sets","Hantera attributmängder"
"Manage Attributes","Hantera attribut"
"Manage Catalog Categories","Hantera katalogkategorier"
"Manage Categories","Hantera kategorier"
"Manage Label / Options","Hantera etiketter / alternativ"
"Manage Options (values of your attribute)","Hantera alternativ (dina attributs värden)"
"Manage Product Attributes","Hantera produktattribut"
"Manage Product Sets","Hantera produktmängder"
"Manage Products","Hantera produkter"
"Manage Stock","Manage Stock"
"Manage Titles (Size, Color, etc.)","Hantera titlar (storlek, färg, etc.)"
"Max Characters","Max Characters"
"Maximal Depth","Maximal Depth"
"Maximum Image Size","Maximum Image Size"
"Maximum Qty Allowed in Shopping Cart","Maximalt antal tillåtet i varukorg"
"Maximum image height","Maximum image height"
"Maximum image width","Maximum image width"
"Maximum number of characters","Maximum number of characters"
"Media Image","Mediabild"
"Minimum Lines Per Page","Minimum Lines Per Page"
"Minimum Qty Allowed in Shopping Cart","Minimum antal tillåtet i varukorg"
"Minimum Qty for Item's Status to be Out of Stock","Lagersaldo för artikel för att dess status ska ändras till 'Slut i lager'"
"Missing SKU, skipping the record","Artikelnummer saknas, hoppar över posten"
"More Views","Fler bilder"
"Move category in tree","Move category in tree"
"Move","Move"
"Multiple Select","Flerval"
"Name In %s","Namn i %s"
"Name","Namn"
"Name<br/>(For internal use)","Namn<br/>(För internt bruk)"
"New Category","Ny kategori"
"New Product Attribute","Nytt produktattribut"
"New Product","Ny produkt"
"New Products","Nya produkter"
"New Search","Ny sökning"
"New Set Name","Nytt mängdnamn"
"Next","Nästa"
"No image","Ingen bild"
"No layout updates","Inga layoutuppdateringar"
"No options of this product are available.","Inga alternativ är tillgängliga för denna produkt."
"No product collections found","Inga produktsamlingar kunde hittas"
"No","Nej"
"None","Inga"
"Not shared with other products","Delas ej med andra produkter"
"Notify Low Stock RSS","RSS-kanal för artiklar som håller på att ta slut i lager"
"Notify for Quantity Below","Meddelade när lagersaldo är under"
"Nowhere","Ingenstans"
"Number of Uses","Antal träffar"
"Number of results<br/>(For last time placed)","Antal resultat<br/>(senaste placering)"
"OR","ELLER"
"Old Price:","Tidigare pris:"
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"Option:","Alternativ:"
"Options Control","Hantera alternativ"
"Options is required","Alternativ krävs"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","Slut i lager"
"Out of stock","Slut i lager"
"Out of stock.","Slut i lager."
"PM","PM"
"Page Title Separator","Avskiljare för sidtitel"
"Page:","Sida:"
"Parent Category","Föräldrarkatalog"
"Pending Reviews RSS","RSS-kanal för recensioner att granska"
"Pending","Avvaktande"
"Percentage","Procent"
"Please add rows to option.","Please add rows to option."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Please click on Close Window button if it won't be closed automatically","Vänligen klicka på Stäng fönstret-knappen om fönstret inte stängs automatiskt"
"Please enter a new group name","Vänligen skriv in ett nytt namn för gruppen"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","Please select  items"
"Please select one or more attributes.","Vänligen välj ett eller flera attribut."
"Please select product(s)","Vänligen välj produkt(er)"
"Please select products for attributes update","Vänligen välj produkter för att uppdatera attribut"
"Please select static block ...","Vänligen välj statiskt block..."
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify the product option(s)","Please specify the product option(s)"
"Please specify the product required option(s)","Please specify the product required option(s)"
"Please specify the product(s) quantity","Please specify the product(s) quantity"
"Please specify the quantity of product(s).","Vänligen ange antalet produkter du önskar."
"Please specify time required option(s)","Please specify time required option(s)"
"Please, use four-digit year format","Please, use four-digit year format"
"Position In Layered Navigation","Placering i lagerbaserad navigation"
"Position of attribute in layered navigation block","Placering av attribut i lagerbaserad navigationsblock"
"Position","Placering"
"Prev","Föregående"
"Previous","Föregående"
"Price Type","Price Type"
"Price values for options should be specified in system base currency.","Prisvärden för alternativ bör anges i systemets basvaluta"
"Price","Pris"
"Price:","Pris:"
"Print This Page","Skriv ut denna sida"
"Problem saving the collection, aborting. Error: %s","Ett fel uppstod när samlingen skulle sparas, avbryter åtgärden. Felmeddelande: %s"
"Product %s successfully added to compare list","Produkten %s har lagts till i jämförelselistan"
"Product %s successfully removed from compare list","Produkten %s har tagits bort från jämförelselistan"
"Product API","Product API"
"Product Alerts","Produktnotifikationer"
"Product Attribute","Produktattribut"
"Product Attributes","Produktattribut"
"Product Categories","Produktkategorier"
"Product Description","Produktbeskrivning"
"Product Image Placeholders","Platsbehållare för produktbild"
"Product Image Watermarks","Vattenmärken för produktbild"
"Product Images API","Product Images API"
"Product Images","Product Images"
"Product In Websites","Produkt på webbplatser"
"Product Info Column","Product Info Column"
"Product Information","Information om produkt"
"Product Name","Produktnamn"
"Product Reviews","Produktrecensioner"
"Product Tags","Produktetiketter"
"Product Tier Price API","Product Tier Price API"
"Product Type","Produkttyp"
"Product URL Suffix","Product URL Suffix"
"Product attribute sets API","Product attribute sets API"
"Product attribute was successfully deleted","Produktattribut har tagits bort"
"Product attribute was successfully saved","Produktattribut har sparats"
"Product attributes API","Product attributes API"
"Product collection expected","Produktsamling förväntades"
"Product deleted","Produkten har tagits bort"
"Product duplicated","Produkten har dupliceras"
"Product has required options","Product has required options"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product listing sort by","Product listing sort by"
"Product saving error. ","Product saving error. "
"Product saving error.","Ett fel uppstod när produkten skulle sparas."
"Product types API","Product types API"
"Product was successfully created.","Produkten har skapats."
"Product was successfully saved.","Produkten har sparats."
"Product with this combination of attributes already associated to configurable.","Det existerar redan en produkt som är relaterad med konfigurerbar och som har samma kombination av attribut."
"Product","Product"
"Products Information","Information om produkter"
"Products Reviews","Produktrecensioner"
"Products Sitemap","Webbkarta för produkter"
"Products only","Endast produkter"
"Products per Page on Grid default value","Förvalt värde för antal produkter per sida (rutnät)"
"Products per Page on List allowed values","Products per Page on List allowed values"
"Products per Page on List default value","Förvalt värde för antal produkter per sida (lista)"
"Products per page on Grid allowed values","Products per page on Grid allowed values"
"Products","Produkter"
"Properties","Egenskaper"
"Qty Uses Decimals","Antal decimaler"
"Qty for Item's Status to become Out of Stock","Qty for Item's Status to become Out of Stock"
"Qty","Antal"
"Quick Create","Snabbskapa"
"Quick Overview","Översikt"
"Quick simple product creation","Skapa snabbt enkel produkt"
"Records for ""","Poster för """
"Redirect URL","URL för omdirigering"
"Redirect","Omdirigera"
"Regular Price:","Ordinarie pris"
"Related Products","Relaterade produkter"
"Remove Product From Websites","Ta bort produkt från webbplatser"
"Remove Product","Ta bort produkt"
"Remove This Item","Ta bort denna artikel"
"Remove product assignment","Remove product assignment"
"Remove product image","Remove product image"
"Remove product link","Remove product link"
"Remove","Ta bort"
"Required","Obligatoriskt"
"Reset","Nollställ"
"Results","Resultat"
"Retrieve attribute data","Retrieve attribute data"
"Retrieve attribute list","Retrieve attribute list"
"Retrieve attribute options","Retrieve attribute options"
"Retrieve categories tree","Retrieve categories tree"
"Retrieve category attributes","Retrieve category attributes"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve product attribute sets","Retrieve product attribute sets"
"Retrieve product image list","Retrieve product image list"
"Retrieve product image types","Retrieve product image types"
"Retrieve product image","Retrieve product image"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Retrieve product link types"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Retrieve product types"
"Retrieve product","Retrieve product"
"Retrieve products data","Retrieve products data"
"Retrieve products list by filters","Retrieve products list by filters"
"Review successfully deleted","Recensionen har tagits bort"
"Review was saved successfully","Recensionen har sparats"
"Review was successfully saved","Recensionen har sparats"
"Reviews","Recensioner"
"Roll Over for preview","För över musen för förhandsgranskning"
"Root","Rot"
"SKU","Artikelnummer"
"Save And Continue Edit","Spara och fortsätt ändra"
"Save Attribute Set","Spara attributmängd"
"Save Attribute","Spara attribut"
"Save Category","Spara kategori"
"Save Search","Spara sökning"
"Save","Spara"
"Saved ","Har sparats"
"Scope","Omfång"
"Search Engine Optimizations","Sökmotoroptimeringar"
"Search Information","Information om sökning"
"Search Query","Sökfråga"
"Search Term was successfully saved","Söktermen har sparats"
"Search Term with such search query already exist.","Det existerar redan en sökterm med angiven sökfråga."
"Search was successfully deleted","Sökningen har tagits bort"
"Search","Sök"
"Searchable","Sökbar"
"Select Configurable Attributes ","Välj konfigurerbara attribut"
"Select type of option","Select type of option"
"Select type options required values rows.","Select type options required values rows."
"Selected Product Types","Valda produkttyper"
"Selected configuration is not available.","Selected configuration is not available."
"Send Count","Räknare för leveranser"
"Set Ascending Direction","Stigande ordning"
"Set Descending Direction","Minskande ordning"
"Set Name","Välj namn"
"Set Root Category For Store","Välj butikens rotkategori"
"Set root category for this store in the <a href=""%s"">configuration</a>","Välj rotkategori för denna butik i <a href=""%s"">inställningar</a>."
"Set special price","Set special price"
"Set/Get current store view","Set/Get current store view"
"Settings","Inställningar"
"Shop by","Handla utifrån"
"Shopping Options","Filtrera din sökning"
"Short Description","Short Description"
"Show Details","Show Details"
"Show Tags","Show Tags"
"Show","Visa"
"Simple Product","Enkel produkt"
"Site Map","Webbkarta"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Värdet ""%s"" är inte giltigt för fältet ""%s"", hoppar över importraden"
"Skip import row, required field ""%s"" for new customer not defined","Det obligatoriska fältet ""%s"" för nya kunder har inte angetts, hoppar över importraden"
"Skip import row, required field ""%s"" for new products not defined","Det obligatoriska fältet ""%s"" för nya produkter har inte angetts, hoppar över importraden"
"Skip import row, required field ""%s"" not defined","Det obligatoriska fältet ""%s"" har inte angetts, hoppar över importraden"
"Skip import row, store ""%s"" field not exists","Fältet ""%s"" för butiker existerar inte, hoppar över importraden"
"Sort Order","Sortering"
"Sort by","Sortera utifrån"
"Source Model","Källmodell"
"Special Price:","Specialpris:"
"Special Price",""
"Special Price %s","%s"
"Special Price:","Ditt pris:"
"Special Price: %s","Ditt pris: %s"
"Starting at:","Börjar på:"
"Static block and products","Statiska block och produkter"
"Static block only","Endast statiskt block"
"Static","Statisk"
"Status","Status"
"Stock Availability","Lagerstatus"
"Store View","Butiksvy"
"Store","Butik"
"Stretch","Tänj"
"Subscribe to Feed","Prenumerera på RSS-kanal"
"Subscribe to RSS Feed","Prenumerera på RSS-kanal"
"Super product attributes configuration","Konfiguration av superattribut för produkt"
"Synonym For","Synonym för"
"Synonym for","Synonym för"
"System Properties","Systemegenskaper"
"System","System"
"Tag Name","Etikettnamn"
"Tax Class","Tax Class"
"Tax","Tax"
"Text Area","Textarea"
"Text Field","Textfält"
"Text","Text"
"There are no %s available.","%s är inte tillgängliga."
"There are no customers for this alert","Inga kunder prenumererar på denna bevakning."
"There are no products matching the selection.","Det finns inga produkter som överensstämmer med urvalet."
"There was an error while adding products to websites","Ett fel uppstod när produkterna skulle läggas till webbplatserna"
"There was an error while cleared compare list","There was an error while cleared compare list"
"There was an error while removing products from websites","Ett fel uppstod när produkterna skulle tas bort från webbplatserna"
"There was an error while updating product(s) attributes","Ett fel uppstod när produktattribut skulle uppdateras"
"There was an error while updating product(s) status","There was an error while updating product(s) status"
"This attribute no longer exists","Detta attribut existerar inte längre"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","This group contains attributes, used in configurable products. Please move these attributes to another group and try again."
"This group contains system attributes. Please move system attributes to another group and try again.","Denna grupp innehåller systemattribut. Vänligen flytta systemattributen till en annan grupp och försök igen."
"This is a required option","This is a required option"
"This search no longer exists","Denna sökning existerar inte längre."
"Tier Pricing","Prissättning för nivå"
"Tile","Titel"
"Time format","Time format"
"Title","Title"
"Top/Left","Överst/Vänster"
"Top/Right","Överst/höger"
"Total Qty Base Items","Total Qty Base Items"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Total of %d record(s) were successfully deleted","Totalt %d post(er) har tagits bort"
"Total of %d record(s) were successfully updated","Totalt %d poster har uppdaterats"
"Type","Typ"
"Unable to complete request. Please try again later.","Det gick inte att genomföra begäran. Vänligen försök igenom senare."
"Unable to find a search term to delete","Det gick inte att ta bort söktermen då den inte kunde hittas."
"Unable to find an attribute to delete","Det gick inte att ta bort attributet då den inte kunde hittas."
"Unable to get product id.","Kunde inte hämta produktid."
"Unassigned Attributes","Otilldelade attribut"
"Unique Value (not shared with other products)","Unikt värde (delas inte med andra produkter)"
"Unique Value","Unikt värde"
"Unknown attribute: %s","Okänt attribut: %s"
"Up-sells","Merförsäljning"
"Update Attributes","Update Attributes"
"Update Tier Price","Update Tier Price"
"Update assigned product","Update assigned product"
"Update attributes","Uppdatera attribut"
"Update category","Update category"
"Update product image","Update product image"
"Update product link","Update product link"
"Update product tier prices","Update product tier prices"
"Update product","Update product"
"Update","Update"
"Upload new product image ","Upload new product image "
"Url Rewrite Management","Hantera URL-omskrivningar"
"Url rewrie save problem.","Url rewrie save problem."
"Url","URL"
"Use Config Settings","Använd inställningar för konfiguration"
"Use Default Value","Använd förvalt värde"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use In Layered Navigation","Använd i lagerbaserad navigation"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Använd in lagerbaserad navigation<br/>(Kan endast användas tillsammans med indatatypen för katalog satt till 'Rullgardinsmeny')"
"Use In Search Results Layered Navigation","Use In Search Results Layered Navigation"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Use To Create Configurable Product","Använd för att skapa konfigurerbar produkt"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Use categories path for product URLs","Använd sökväg för kategorier för produkt-URL:er"
"Use in advanced search","Använd i avancerad sökning"
"Use in quick search","Använd i snabbsökning"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Values Required","Värden krävs"
"Varchar","Varchar"
"View as","Visa som"
"Virtual Product","Virtual Product"
"Visibility","Synlighet"
"Visible on Catalog Pages on Front-end","Synlig på kunddelens katalogsidor"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Visible","Synlig"
"Watermark Default Size","Förvald storlek för vattenmärke"
"Watermark Position","Placering av vattenmärke"
"Watermark","Vattenmärke"
"We Also Recommend","We Also Recommend"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","Webbplats"
"Websites","Webbplatser"
"Wishlist","Önskelista"
"Wishlist","Önskelista"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Year Range"
"Yes","Ja"
"Yes/No","Ja/nej"
"You cannot delete this attribute","Du kan inte ta bort detta attribut"
