"%s already exist","%s finns redan"
"%s already exists","%s finns redan"
"-- Please Select --","-- Vänligen välj --"
"Add Block Names to Hints","Add Block Names to Hints"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Add Store Code to Urls","Lägg till butikskod till URL:er"
"Admin Base URL","Admin Base URL"
"Admin User Emails","Admin User Emails"
"Admin","Admin"
"Advanced","Avancerad"
"Allow countries","Tillåt länder"
"Allowed IPs (comma separated)","Tillåtna IP-adresser (separerade med komma)"
"Are you sure?","Är du säker?"
"Back to Main Product Info","Back to Main Product Info"
"Back","Tillbaka"
"Backup options","Backup options"
"Base JavaScript URL","Bas-URL för JavaScript"
"Base Link URL","Bas-URL för länkar"
"Base Media URL","URL-bas för media"
"Base Skin URL","URL-bas för teman"
"Base URL","Bas-URL"
"Before modifying the store view code please make sure that it is not used in index.php","Innan du ändrar på koden för butiksvyn, kontrollera att den inte används i index.php"
"Before modifying the website code please make sure that it is not used in index.php","Innan du ändrar på koden för webbplatsen, kontrollera att den inte används i index.php"
"Block with name ""%s"" already exists","Det finns redan ett block med namnet ""%s"""
"Blocks HTML output","Blocks HTML output"
"Can't retrieve entity config: %s","Det gick inte att hämta konfiguration för entitet: %s"
"Can't retrieve request object","Det gick inte att hämta objekt för begäran"
"Cancel","Avbryt"
"Cannot Delete Email Template","Kan inte ta bort e-postmall"
"Cannot complete this operation from non-admin area.","Cannot complete this operation from non-admin area."
"Category object is required for determining product request path","Category object is required for determining product request path"
"Clear All","Clear All"
"Code","Kod"
"Collections Data","Collections Data"
"Compare Products","Compare Products"
"Configuration","Configuration"
"Controller file was loaded but class does not exist","Kontrollerfilen har laddats men klassen finns inte"
"Cookie Domain","Domän för kaka"
"Cookie Lifetime","Livslängd för kaka"
"Cookie Path","Sökväg för kaka"
"Copyright","Copyright"
"Countries options","Alternativ för länder"
"Create Store View","Skapa butiksvy"
"Create Store","Skapa butik"
"Create Website","Skapa webbplats"
"Current package name","Aktuellt paketnamn"
"Custom Design","Anpassad design"
"Custom admin URL","Custom admin URL"
"Custom email 1","Anpassad e-post 1"
"Custom email 2","Anpassad e-post 2"
"Customer support","Kundservice"
"Date From","Datum från"
"Date To","Datum till"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Debug","Avlusa"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Default Pages","Förvalda sidor"
"Default Robots","Default Robots"
"Default Store View","Förvald butiksvy"
"Default Store","Förvald butik"
"Default Title","Default Title"
"Default country","Förvalt land"
"Default no-route url","Förvald URL när rutt saknas"
"Default web url","Förvald URL för webb"
"Default","Förvalt"
"Delete Store View","Ta bort butiksvy"
"Delete Store","Ta bort butik"
"Delete Website","Ta bort webbplats"
"Delete","Ta bort"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design Change","Designändring"
"Design","Design"
"Developer Client Restrictions","Begränsningar för utvecklarklient"
"Developer","Utvecklare"
"Disable email communications","Inaktivera e-postkommunikation"
"Disable modules output","Inaktivera utdata för moduler"
"Duplicate Of Template Code","Kopiering av mallkod"
"Edit Design Change","Ändra på designändring"
"Edit Store View","Ändra på butiksvyn"
"Edit Store","Ändra på butiken"
"Edit Website","Ändra på webbplatsen"
"Empty identifier field name","Tomt fältnamn för identifierare"
"Empty main table name","Tomt namn för huvudtabell"
"Enabled for Admin","Aktiverad för administratör"
